# OSTSEE_FLENSBURG
time-stamp sea-level-in-m
2018-01-16T00:01 480.000000
2018-01-16T00:02 480.000000
2018-01-16T00:03 480.000000
2018-01-16T00:04 480.000000
2018-01-16T00:05 480.000000
2018-01-16T00:06 480.000000
2018-01-16T00:07 480.000000
2018-01-16T00:08 480.000000
2018-01-16T00:09 480.000000
2018-01-16T00:10 480.000000
2018-01-16T00:11 480.000000
2018-01-16T00:12 479.000000
2018-01-16T00:13 479.000000
2018-01-16T00:14 479.000000
2018-01-16T00:15 479.000000
2018-01-16T00:16 479.000000
2018-01-16T00:17 479.000000
2018-01-16T00:18 479.000000
2018-01-16T00:19 479.000000
2018-01-16T00:20 479.000000
2018-01-16T00:21 479.000000
2018-01-16T00:22 479.000000
2018-01-16T00:23 479.000000
2018-01-16T00:24 479.000000
2018-01-16T00:25 479.000000
2018-01-16T00:26 479.000000
2018-01-16T00:27 478.000000
2018-01-16T00:28 478.000000
2018-01-16T00:29 478.000000
2018-01-16T00:30 478.000000
2018-01-16T00:31 478.000000
2018-01-16T00:32 477.000000
2018-01-16T00:33 477.000000
2018-01-16T00:34 477.000000
2018-01-16T00:35 477.000000
2018-01-16T00:36 477.000000
2018-01-16T00:37 477.000000
2018-01-16T00:38 477.000000
2018-01-16T00:39 477.000000
2018-01-16T00:40 477.000000
2018-01-16T00:41 477.000000
2018-01-16T00:42 476.000000
2018-01-16T00:43 476.000000
2018-01-16T00:44 476.000000
2018-01-16T00:45 476.000000
2018-01-16T00:46 476.000000
2018-01-16T00:47 476.000000
2018-01-16T00:48 476.000000
2018-01-16T00:49 476.000000
2018-01-16T00:50 476.000000
2018-01-16T00:51 476.000000
2018-01-16T00:52 476.000000
2018-01-16T00:53 475.000000
2018-01-16T00:54 475.000000
2018-01-16T00:55 475.000000
2018-01-16T00:56 475.000000
2018-01-16T00:57 474.000000
2018-01-16T00:58 474.000000
2018-01-16T00:59 474.000000
2018-01-16T01:00 474.000000
2018-01-16T01:01 474.000000
2018-01-16T01:02 474.000000
2018-01-16T01:03 474.000000
2018-01-16T01:04 474.000000
2018-01-16T01:05 474.000000
2018-01-16T01:06 474.000000
2018-01-16T01:07 474.000000
2018-01-16T01:08 474.000000
2018-01-16T01:09 474.000000
2018-01-16T01:10 474.000000
2018-01-16T01:11 474.000000
2018-01-16T01:12 474.000000
2018-01-16T01:13 474.000000
2018-01-16T01:14 474.000000
2018-01-16T01:15 474.000000
2018-01-16T01:16 474.000000
2018-01-16T01:17 473.000000
2018-01-16T01:18 473.000000
2018-01-16T01:19 473.000000
2018-01-16T01:20 473.000000
2018-01-16T01:21 473.000000
2018-01-16T01:22 473.000000
2018-01-16T01:23 473.000000
2018-01-16T01:24 473.000000
2018-01-16T01:25 473.000000
2018-01-16T01:26 473.000000
2018-01-16T01:27 473.000000
2018-01-16T01:28 473.000000
2018-01-16T01:29 473.000000
2018-01-16T01:30 473.000000
2018-01-16T01:31 473.000000
2018-01-16T01:32 473.000000
2018-01-16T01:33 473.000000
2018-01-16T01:34 473.000000
2018-01-16T01:35 473.000000
2018-01-16T01:36 473.000000
2018-01-16T01:37 473.000000
2018-01-16T01:38 473.000000
2018-01-16T01:39 472.000000
2018-01-16T01:40 472.000000
2018-01-16T01:41 472.000000
2018-01-16T01:42 472.000000
2018-01-16T01:43 472.000000
2018-01-16T01:44 472.000000
2018-01-16T01:45 472.000000
2018-01-16T01:46 472.000000
2018-01-16T01:47 472.000000
2018-01-16T01:48 472.000000
2018-01-16T01:49 472.000000
2018-01-16T01:50 472.000000
2018-01-16T01:51 472.000000
2018-01-16T01:52 472.000000
2018-01-16T01:53 472.000000
2018-01-16T01:54 472.000000
2018-01-16T01:55 472.000000
2018-01-16T01:56 472.000000
2018-01-16T01:57 472.000000
2018-01-16T01:58 472.000000
2018-01-16T01:59 472.000000
2018-01-16T02:00 472.000000
2018-01-16T02:01 472.000000
2018-01-16T02:02 472.000000
2018-01-16T02:03 472.000000
2018-01-16T02:04 472.000000
2018-01-16T02:05 472.000000
2018-01-16T02:06 472.000000
2018-01-16T02:07 472.000000
2018-01-16T02:08 472.000000
2018-01-16T02:09 472.000000
2018-01-16T02:10 472.000000
2018-01-16T02:11 472.000000
2018-01-16T02:12 472.000000
2018-01-16T02:13 472.000000
2018-01-16T02:14 472.000000
2018-01-16T02:15 472.000000
2018-01-16T02:16 472.000000
2018-01-16T02:17 472.000000
2018-01-16T02:18 472.000000
2018-01-16T02:19 472.000000
2018-01-16T02:20 472.000000
2018-01-16T02:21 472.000000
2018-01-16T02:22 472.000000
2018-01-16T02:23 472.000000
2018-01-16T02:24 472.000000
2018-01-16T02:25 472.000000
2018-01-16T02:26 472.000000
2018-01-16T02:27 473.000000
2018-01-16T02:28 473.000000
2018-01-16T02:29 473.000000
2018-01-16T02:30 473.000000
2018-01-16T02:31 473.000000
2018-01-16T02:32 473.000000
2018-01-16T02:33 474.000000
2018-01-16T02:34 474.000000
2018-01-16T02:35 474.000000
2018-01-16T02:36 474.000000
2018-01-16T02:37 474.000000
2018-01-16T02:38 474.000000
2018-01-16T02:39 473.000000
2018-01-16T02:40 473.000000
2018-01-16T02:41 473.000000
2018-01-16T02:42 473.000000
2018-01-16T02:43 473.000000
2018-01-16T02:44 473.000000
2018-01-16T02:45 473.000000
2018-01-16T02:46 473.000000
2018-01-16T02:47 473.000000
2018-01-16T02:48 473.000000
2018-01-16T02:49 473.000000
2018-01-16T02:50 473.000000
2018-01-16T02:51 473.000000
2018-01-16T02:52 473.000000
2018-01-16T02:53 473.000000
2018-01-16T02:54 472.000000
2018-01-16T02:55 472.000000
2018-01-16T02:56 472.000000
2018-01-16T02:57 472.000000
2018-01-16T02:58 472.000000
2018-01-16T02:59 472.000000
2018-01-16T03:00 472.000000
2018-01-16T03:01 472.000000
2018-01-16T03:02 472.000000
2018-01-16T03:03 471.000000
2018-01-16T03:04 471.000000
2018-01-16T03:05 471.000000
2018-01-16T03:06 471.000000
2018-01-16T03:07 471.000000
2018-01-16T03:08 470.000000
2018-01-16T03:09 470.000000
2018-01-16T03:10 470.000000
2018-01-16T03:11 470.000000
2018-01-16T03:12 470.000000
2018-01-16T03:13 470.000000
2018-01-16T03:14 470.000000
2018-01-16T03:15 470.000000
2018-01-16T03:16 470.000000
2018-01-16T03:17 470.000000
2018-01-16T03:18 470.000000
2018-01-16T03:19 470.000000
2018-01-16T03:20 470.000000
2018-01-16T03:21 469.000000
2018-01-16T03:22 469.000000
2018-01-16T03:23 469.000000
2018-01-16T03:24 469.000000
2018-01-16T03:25 469.000000
2018-01-16T03:26 468.000000
2018-01-16T03:27 468.000000
2018-01-16T03:28 468.000000
2018-01-16T03:29 468.000000
2018-01-16T03:30 468.000000
2018-01-16T03:31 467.000000
2018-01-16T03:32 467.000000
2018-01-16T03:33 467.000000
2018-01-16T03:34 467.000000
2018-01-16T03:35 467.000000
2018-01-16T03:36 467.000000
2018-01-16T03:37 466.000000
