# OSTSEE_LT+KIEL
time-stamp sea-level-in-m
2018-01-16T00:01 459.000000
2018-01-16T00:02 459.000000
2018-01-16T00:03 459.000000
2018-01-16T00:04 459.000000
2018-01-16T00:05 459.000000
2018-01-16T00:06 459.000000
2018-01-16T00:07 459.000000
2018-01-16T00:08 459.000000
2018-01-16T00:09 458.000000
2018-01-16T00:10 458.000000
2018-01-16T00:11 458.000000
2018-01-16T00:12 458.000000
2018-01-16T00:13 458.000000
2018-01-16T00:14 458.000000
2018-01-16T00:15 458.000000
2018-01-16T00:16 458.000000
2018-01-16T00:17 458.000000
2018-01-16T00:18 458.000000
2018-01-16T00:19 458.000000
2018-01-16T00:20 458.000000
2018-01-16T00:21 458.000000
2018-01-16T00:22 458.000000
2018-01-16T00:23 458.000000
2018-01-16T00:24 458.000000
2018-01-16T00:25 458.000000
2018-01-16T00:26 458.000000
2018-01-16T00:27 458.000000
2018-01-16T00:28 459.000000
2018-01-16T00:29 459.000000
2018-01-16T00:30 459.000000
2018-01-16T00:31 459.000000
2018-01-16T00:32 459.000000
2018-01-16T00:33 459.000000
2018-01-16T00:34 459.000000
2018-01-16T00:35 459.000000
2018-01-16T00:36 459.000000
2018-01-16T00:37 459.000000
2018-01-16T00:38 459.000000
2018-01-16T00:39 459.000000
2018-01-16T00:40 459.000000
2018-01-16T00:41 459.000000
2018-01-16T00:42 459.000000
2018-01-16T00:43 459.000000
2018-01-16T00:44 459.000000
2018-01-16T00:45 459.000000
2018-01-16T00:46 459.000000
2018-01-16T00:47 459.000000
2018-01-16T00:48 458.000000
2018-01-16T00:49 458.000000
2018-01-16T00:50 458.000000
2018-01-16T00:51 458.000000
2018-01-16T00:52 458.000000
2018-01-16T00:53 458.000000
2018-01-16T00:54 458.000000
2018-01-16T00:55 458.000000
2018-01-16T00:56 458.000000
2018-01-16T00:57 458.000000
2018-01-16T00:58 458.000000
2018-01-16T00:59 458.000000
2018-01-16T01:00 458.000000
2018-01-16T01:01 458.000000
2018-01-16T01:02 458.000000
2018-01-16T01:03 458.000000
2018-01-16T01:04 458.000000
2018-01-16T01:05 458.000000
2018-01-16T01:06 458.000000
2018-01-16T01:07 458.000000
2018-01-16T01:08 458.000000
2018-01-16T01:09 458.000000
2018-01-16T01:10 458.000000
2018-01-16T01:11 458.000000
2018-01-16T01:12 458.000000
2018-01-16T01:13 458.000000
2018-01-16T01:14 458.000000
2018-01-16T01:15 458.000000
2018-01-16T01:16 458.000000
2018-01-16T01:17 457.000000
